epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
172,1,8.27e-05,1.4199,0.3990,0.4257,0.9168,0.9012,0.8965
173,2,7.49e-05,1.4510,0.4067,0.4171,0.9159,0.9064,0.9012
174,3,6.74e-05,1.4118,0.4109,0.4445,0.9194,0.9117,0.9064
175,4,6.03e-05,1.4312,0.3964,0.4278,0.9253,0.9168,0.9117
176,0,5.36e-05,1.4152,0.3943,0.3576,0.9299,0.9215,0.9168
177,1,4.72e-05,1.3734,0.4082,0.3680,0.9358,0.9253,0.9215
178,2,4.13e-05,1.4097,0.4047,0.3879,0.9315,0.9284,0.9253
179,3,3.57e-05,1.3516,0.4144,0.3537,0.9407,0.9326,0.9284
180,4,3.04e-05,1.3675,0.4334,0.3313,0.9435,0.9363,0.9326
181,0,2.56e-05,1.3811,0.4164,0.3671,0.9420,0.9387,0.9363
182,1,2.12e-05,1.3626,0.4181,0.3499,0.9480,0.9411,0.9387
183,2,1.72e-05,1.3529,0.4140,0.3632,0.9421,0.9433,0.9411
184,3,1.36e-05,1.3568,0.4189,0.3266,0.9486,0.9448,0.9433
185,4,1.04e-05,1.3398,0.4212,0.3782,0.9450,0.9451,0.9448
186,0,7.69e-06,1.3032,0.4394,0.3366,0.9512,0.9470,0.9451
187,1,5.34e-06,1.3325,0.4248,0.3430,0.9552,0.9484,0.9470
188,2,3.42e-06,1.3608,0.4246,0.3569,0.9465,0.9493,0.9484
189,3,1.93e-06,1.3218,0.4302,0.3257,0.9523,0.9501,0.9493
190,4,8.56e-07,1.3205,0.4335,0.3228,0.9525,0.9516,0.9501
191,0,2.14e-07,1.3308,0.4312,0.3163,0.9535,0.9520,0.9516
192,1,8.00e-04,1.3538,0.4165,0.3244,0.9554,0.9521,0.9520
193,2,8.00e-04,2.0220,0.2934,1.2603,0.6236,0.8875,0.9520
194,3,8.00e-04,2.0825,0.2710,1.3410,0.5810,0.8132,0.9520
195,4,8.00e-04,2.1106,0.2607,1.3366,0.5998,0.7427,0.9520
196,0,7.99e-04,2.1428,0.2498,1.3877,0.5931,0.6706,0.9520
197,1,7.99e-04,2.1464,0.2570,1.4061,0.5733,0.5942,0.9520
198,2,7.98e-04,2.1654,0.2486,1.3954,0.5812,0.5857,0.9520
199,3,7.97e-04,2.1709,0.2476,1.4286,0.5672,0.5829,0.9520
200,4,7.97e-04,2.1507,0.2545,1.4159,0.5708,0.5771,0.9520
