epoch,val_fold,lr,train_loss,train_acc,val_loss,val_acc,rolling_avg,best_rolling_avg
106,0,1.57e-05,1.8425,0.3199,0.8717,0.7538,0.7525,0.7472
107,1,3.94e-06,1.8418,0.3155,0.8376,0.7652,0.7568,0.7525
108,2,1.00e-03,1.8768,0.3262,0.8299,0.7710,0.7604,0.7568
109,3,9.96e-04,2.0122,0.2891,1.1058,0.6663,0.7434,0.7604
110,4,9.84e-04,2.0230,0.2804,1.1735,0.6427,0.7198,0.7604
111,0,9.65e-04,2.0397,0.2800,1.0951,0.6766,0.7044,0.7604
112,1,9.38e-04,2.0248,0.2833,1.0888,0.6758,0.6865,0.7604
113,2,9.05e-04,2.0200,0.2791,1.0227,0.7010,0.6725,0.7604
114,3,8.64e-04,1.9912,0.2862,1.0541,0.6878,0.6768,0.7604
115,4,8.19e-04,1.9914,0.2881,1.0225,0.7001,0.6883,0.7604
116,0,7.68e-04,1.9627,0.2972,0.9999,0.7076,0.6944,0.7604
117,1,7.13e-04,1.9765,0.2986,0.9628,0.7126,0.7018,0.7604
118,2,6.55e-04,1.9340,0.2925,0.9265,0.7359,0.7088,0.7604
119,3,5.94e-04,1.9102,0.2980,0.9328,0.7288,0.7170,0.7604
120,4,5.31e-04,1.8714,0.3163,0.8937,0.7443,0.7258,0.7604
121,0,4.69e-04,1.8619,0.3250,0.8924,0.7488,0.7341,0.7604
122,1,4.06e-04,1.8236,0.3161,0.8202,0.7750,0.7465,0.7604
123,2,3.45e-04,1.8361,0.3170,0.8030,0.7808,0.7555,0.7604
124,3,2.87e-04,1.7704,0.3567,0.7705,0.7851,0.7668,0.7604
125,4,2.32e-04,1.7728,0.3372,0.7552,0.7964,0.7772,0.7668
126,0,1.81e-04,1.7400,0.3244,0.7344,0.8049,0.7884,0.7772
127,1,1.36e-04,1.7255,0.3416,0.7171,0.8110,0.7956,0.7884
128,2,9.55e-05,1.7409,0.3370,0.6975,0.8270,0.8049,0.7956
129,3,6.18e-05,1.7267,0.3521,0.6894,0.8238,0.8126,0.8049
130,4,3.51e-05,1.6638,0.3509,0.6659,0.8299,0.8193,0.8126
131,0,1.57e-05,1.7178,0.3614,0.6773,0.8317,0.8247,0.8193
132,1,3.94e-06,1.6864,0.3547,0.6393,0.8394,0.8304,0.8247
133,2,1.00e-03,1.6983,0.3656,0.6302,0.8458,0.8341,0.8304
134,3,9.96e-04,1.8732,0.3138,0.9055,0.7442,0.8182,0.8341
135,4,9.84e-04,1.8983,0.2957,0.8950,0.7452,0.8013,0.8341
136,0,9.65e-04,1.8634,0.3140,0.8867,0.7435,0.7836,0.8341
137,1,9.38e-04,1.8915,0.3169,0.8828,0.7466,0.7651,0.8341
138,2,9.05e-04,1.8818,0.3126,0.9151,0.7387,0.7436,0.8341
